Title,Cuisine,Menu,Weekdays,Sunday,Area,Rating,Reviews,Yelp
Bobby Van's Grill - West 45th Street,Steakhouse,True,LD,D,Times Square,3.0,113,http://www.yelp.com/biz/bobby-vans-steakhouse-new-york-12
Bobby Van's Grill - West 50th Street,Steakhouse,True,LD,D,Times Square,3.5,189,http://www.yelp.com/biz/bobby-vans-steakhouse-new-york-13
Bobby Van's Steakhouse & Grill - Broad Street,Steakhouse,True,LD,None,Financial District,3.5,221,http://www.yelp.com/biz/bobby-vans-steakhouse-new-york-3
Bobby Van's Steakhouse - East 54th Street,Steakhouse,True,LD,None,Midtown East,4.0,1117,http://www.yelp.com/biz/quality-meats-new-york
Bocca Restaurant & Bar,Italian,True,LD,D,Gramercy,2.5,74,http://www.yelp.com/biz/andreas-restaurant-metairie
Bodega Negra at Dream Downtown,Mexican,True,D,D,Chelsea,3.5,352,http://www.yelp.com/biz/casa-romero-boston
Boulud Sud,Mediterranean,True,LD,D,Upper West Side,4.0,381,http://www.yelp.com/biz/boulud-sud-new-york
Brasserie,French,True,LD,D,Midtown East,3.5,349,http://www.yelp.com/biz/brasserie-new-york
Brasserie 8 1/2,French,True,LD,D,Midtown West,3.5,273,http://www.yelp.com/biz/brasserie-8-1-2-new-york-2
Brasserie Cognac,French,True,LD,D,Midtown West,3.5,197,http://www.yelp.com/biz/brasserie-cognac-new-york-2
Brasserie Ruhlmann,French,True,D,None,Midtown West,3.5,151,http://www.yelp.com/biz/brasserie-ruhlmann-new-york
Bread & Tulips,Italian,True,LD,None,NoMad,3.5,138,http://www.yelp.com/biz/bread-and-tulips-new-york
Burke & Wills,Australian,True,LD,D,Upper West Side,4.0,164,http://www.yelp.com/biz/burke-and-wills-new-york
Butter Midtown,American New,False,LD,None,Midtown West,3.5,305,http://www.yelp.com/biz/butter-midtown-new-york
BV's Grill,Steakhouse,False,LD,None,Midtown East,3.5,29,http://www.yelp.com/biz/bvs-grill-new-york
Ca Va Brasserie,French,False,LD,None,Times Square,3.0,194,http://www.yelp.com/biz/%C3%A7a-va-brasserie-new-york-2
Cafe Boulud,French,True,L,None,Upper East Side,4.0,407,http://www.yelp.com/biz/cafe-boulud-new-york
Cafe Centro,French,True,LD,None,Midtown East,3.5,77,http://www.yelp.com/biz/caf%C3%A9-centro-new-york-2
Cafe D'Alsace,French,True,LD,D,Upper East Side,4.0,669,http://www.yelp.com/biz/cafe-d-alsace-new-york
Caffe Storico,Italian,True,LD,D,Upper West Side,4.0,120,http://www.yelp.com/biz/caffe-storico-new-york
Calle Ocho,Latin American,False,D,D,Upper West Side,4.0,1690,http://www.yelp.com/biz/calle-ocho-new-york
The Capital Grille Chrysler Center,Steakhouse,True,LD,D,Midtown East,4.0,482,http://www.yelp.com/biz/the-capital-grille-new-york
The Capital Grille Time Life,Steakhouse,False,LD,D,Times Square,4.0,460,http://www.yelp.com/biz/the-capital-grille-new-york-2
The Capital Grille Wall Street,Steakhouse,True,LD,None,Financial District,4.0,302,http://www.yelp.com/biz/the-capital-grille-new-york-3
Caravaggio,Italian,True,L,None,Upper East Side,3.5,45,http://www.yelp.com/biz/caravaggio-new-york
Casa Lever,Italian,True,D,None,Midtown East,3.5,122,http://www.yelp.com/biz/casa-lever-new-york
Casa Mono & Bar Jamon,Spanish,True,L,None,Gramercy,4.0,847,http://www.yelp.com/biz/casa-mono-new-york
Casa Nonna,Italian,True,LD,D,Midtown West,4.0,194,http://www.yelp.com/biz/casa-nonna-new-york-2
Catch NYC,Seafood,False,L,None,Meatpacking District,3.5,665,http://www.yelp.com/biz/catch-new-york-3
The Cecil,African,True,D,D,Harlem,4.0,305,http://www.yelp.com/biz/the-cecil-new-york-5
Charlie Palmer Steak,Steakhouse,True,LD,None,Midtown East,4.0,50,http://www.yelp.com/biz/charlie-palmer-steak-manhattan
Chefs Club by Food & Wine,American New,False,D,D,NoLIta,4.0,104,http://www.yelp.com/biz/chefs-club-by-food-and-wine-ny-new-york
Cherry,Japanese,True,D,None,Chelsea,3.5,44,http://www.yelp.com/biz/cherry-mart-boston
Cherry Izakaya,Japanese,False,D,D,Williamsburg,4.5,90,http://www.yelp.com/biz/nara-sushi-japanese-restaurant-virginia-beach
Chez Josephine,French,False,D,D,Hell's Kitchen,3.5,215,http://www.yelp.com/biz/chez-josephine-new-york
China Grill,Asian Fusion,True,LD,D,Midtown West,3.5,330,http://www.yelp.com/biz/china-grill-new-york
Church & Dey,American New,False,LD,None,Financial District,2.5,16,http://www.yelp.com/biz/church-and-dey-new-york
Churrascaria Plataforma,Brazilian,True,L,None,Midtown West,4.0,807,http://www.yelp.com/biz/churrascaria-plataforma-new-york-3
Cipriani Dolci,Italian,True,LD,D,Midtown East,2.5,134,http://www.yelp.com/biz/cipriani-dolci-new-york
Cipriani Wall Street,Italian,True,LD,None,Financial District,3.0,127,http://www.yelp.com/biz/cipriani-wall-street-new-york-2
Circo,Italian,True,LD,D,Midtown West,3.5,146,http://www.yelp.com/biz/circo-new-york
City Crab & Seafood Company,Seafood,True,LD,D,Gramercy,4.0,49,http://www.yelp.com/biz/b-and-c-seafood-market-and-cajun-restaurant-vacherie
City Hall Restaurant,American Traditional,False,LD,None,TriBeCa,3.5,164,http://www.yelp.com/biz/city-hall-restaurant-new-york-2
City Lobster & Steak,Seafood,True,LD,D,Midtown West,3.0,437,http://www.yelp.com/biz/city-lobster-and-steak-new-york
City Mussels,Seafood,False,LD,D,Midtown West,4.0,517,http://www.yelp.com/biz/flex-mussels-new-york-2
Clement,American New,True,LD,None,Midtown West,4.0,45,http://www.yelp.com/biz/clement-new-york-13
Co-Op Food & Drink,American New,False,D,None,Lower East Side,3.0,161,http://www.yelp.com/biz/co-op-food-and-drink-new-york-2
Costata,Italian,True,L,None,SoHo,4.0,128,http://www.yelp.com/biz/costata-new-york
Craftbar,American New,False,L,None,Gramercy,3.5,690,http://www.yelp.com/biz/craftbar-new-york
Crema Restaurante,Mexican,True,D,D,Chelsea,3.5,534,http://www.yelp.com/biz/ole-cambridge-9
Crossroads American Kitchen and Bar,American New,True,LD,None,Times Square,2.5,36,http://www.yelp.com/biz/crossroads-american-kitchen-and-bar-new-york
Darbar,Indian,False,D,D,Midtown East,3.5,212,http://www.yelp.com/biz/darbar-fine-indian-cuisine-new-york-2
Darbar Grill,Indian,False,D,D,Midtown East,4.0,302,http://www.yelp.com/biz/darbar-grill-new-york
David Burke at Bloomingdale's,American New,False,D,D,Upper East Side,3.0,271,http://www.yelp.com/biz/david-burke-at-bloomingdales-new-york
David Burke Fishtail,Seafood,False,D,D,Upper East Side,3.5,528,http://www.yelp.com/biz/david-burke-fishtail-new-york
David Burke Kitchen,American New,False,LD,D,SoHo,4.0,819,http://www.yelp.com/biz/david-burke-kitchen-new-york
Davio's Northern Italian Steakhouse,Steakhouse,True,LD,D,Midtown East,4.0,89,http://www.yelp.com/biz/davios-northern-italian-steakhouse-new-york
DB Bistro Moderne,French,True,LD,D,Midtown West,3.5,495,http://www.yelp.com/biz/db-bistro-moderne-new-york
DBGB Kitchen and Bar,French,True,D,D,East Village,3.5,1157,http://www.yelp.com/biz/dbgb-kitchen-and-bar-new-york
Delmonico's Kitchen,American New,True,LD,D,Garment District,3.5,177,http://www.yelp.com/biz/delmonicos-kitchen-new-york-3
Delmonico's Restaurant,Steakhouse,True,LD,None,Financial District,3.5,562,http://www.yelp.com/biz/delmonicos-new-york
Docks Oyster Bar,Seafood,True,LD,D,Midtown East,3.5,311,http://www.yelp.com/biz/docks-oyster-bar-and-seafood-grill-new-york
Dos Caminos Meatpacking District,Mexican,False,LD,None,Meatpacking District,3.5,585,http://www.yelp.com/biz/dos-caminos-new-york-3
Dos Caminos Park Avenue,Mexican,False,LD,None,NoMad,3.5,770,http://www.yelp.com/biz/dos-caminos-new-york-5
Dos Caminos SoHo,Mexican,False,LD,None,SoHo,3.5,595,http://www.yelp.com/biz/dos-caminos-new-york-4
Dos Caminos Third Avenue,Mexican,False,LD,None,Midtown East,3.5,917,http://www.yelp.com/biz/dos-caminos-new-york-2
The Dutch,American New,True,L,None,SoHo,3.5,741,http://www.yelp.com/biz/the-dutch-new-york
E&E Grill House,American New,True,LD,D,Times Square,4.0,171,http://www.yelp.com/biz/e-and-e-grill-house-new-york
East & West,American New,True,LD,D,Hell's Kitchen,3.0,12,http://www.yelp.com/biz/east-and-west-new-york
Ed's Chowder House,Seafood,True,LD,D,Upper West Side,3.0,288,http://www.yelp.com/biz/eds-chowder-house-new-york
El Toro Blanco,Mexican,False,LD,D,West Village,3.5,205,http://www.yelp.com/biz/el-toro-blanco-new-york
El Vez,Mexican,True,LD,None,Battery Park City,3.5,208,http://www.yelp.com/biz/el-vez-new-york
Elan,American New,False,D,None,Flatiron District,4.0,92,http://www.yelp.com/biz/%C3%A9lan-new-york-2
Empellon Cocina,Mexican,True,D,None,East Village,3.5,206,http://www.yelp.com/biz/empellon-cocina-new-york
Empellon Taqueria,Mexican,True,LD,None,West Village,3.5,439,http://www.yelp.com/biz/empell%C3%B3n-taqueria-new-york
Empire Steak House - West 54th Street,Steakhouse,True,LD,D,Midtown West,3.5,505,http://www.yelp.com/biz/el-centro-new-york
En Japanese Brasserie,Japanese,True,L,None,West Village,4.0,914,http://www.yelp.com/biz/en-japanese-brasserie-new-york
Esca,Seafood,False,L,None,Hell's Kitchen,3.5,437,http://www.yelp.com/biz/esca-new-york
Essex,American New,True,D,D,Lower East Side,3.5,1336,http://www.yelp.com/biz/essex-new-york
Estiatorio Milos,Seafood,False,L,None,Midtown West,4.0,479,http://www.yelp.com/biz/estiatorio-milos-new-york
Etcetera Etcetera,Italian,True,LD,D,Hell's Kitchen,4.0,269,http://www.yelp.com/biz/etcetera-etcetera-new-york
Felice 15 Gold Street,Italian,True,LD,D,Financial District,3.5,77,http://www.yelp.com/biz/felice-15-gold-street-new-york-2
Felice 83,Italian,True,L,None,Upper East Side,3.5,98,http://www.yelp.com/biz/felice-83-new-york
Felidia,Italian,True,L,None,Midtown East,4.0,309,http://www.yelp.com/biz/felidia-new-york
